month,region,sales,orders
2026-01,华东,180000,900
2026-02,华东,190000,940
2026-03,华东,205000,1010
2026-04,华东,215000,1060
2026-05,华东,235000,1140
2026-06,华东,255000,1230
2026-01,华南,145000,720
2026-02,华南,150000,750
2026-03,华南,155000,770
2026-04,华南,165000,810
2026-05,华南,175000,850
2026-06,华南,190000,920
2026-01,华北,110000,560
2026-02,华北,115000,580
2026-03,华北,120000,600
2026-04,华北,125000,620
2026-05,华北,135000,660
2026-06,华北,145000,710
2026-01,西南,90000,460
2026-02,西南,95000,480
2026-03,西南,100000,500
2026-04,西南,105000,520
2026-05,西南,110000,540
2026-06,西南,120000,580
